"name" "taxon" "taxon.lable" "G_norm_mean"
"138" "Ceiba aesculifolia" "Plants" 2 0.967239932681506
"139" "Ceiba pentandra" "Plants" 2 0.967239932681506
"140" "Celtis iguanaea" "Plants" 2 0.967239932681506
"141" "Cereus hexagonus" "Plants" 2 1.68259875313936
"142" "Cereus horrispinus" "Plants" 2 0.979829953422443
"143" "Cereus repandus" "Plants" 2 0.979829953422443
"144" "Chelonanthus alatus" "Plants" 2 0.967239932681506
"145" "Chrysobalanus icaco" "Plants" 2 0.967239932681506
"146" "Chrysophyllum cainito" "Plants" 2 0.967239932681506
"147" "Chrysophyllum gonocarpum" "Plants" 2 0.967239932681506
"148" "Chrysophyllum oliviforme" "Plants" 2 0.967239932681506
"149" "Clarisia biflora" "Plants" 2 0.967239932681506
"150" "Clidemia octona" "Plants" 2 0.967239932681506
"151" "Clusia flavida" "Plants" 2 0.967239932681506
"152" "Cobaea aschersoniana" "Plants" 2 0.967239932681506
"153" "Coccoloba uvifera" "Plants" 2 0.967239932681506
"154" "Conostegia icosandra" "Plants" 2 0.967239932681506
"155" "Conostegia volcanalis" "Plants" 2 0.967239932681506
"156" "Conostegia xalapensis" "Plants" 2 0.967239932681506
"157" "Copaifera langsdorffii" "Plants" 2 0.967239932681506
"158" "Cordia bicolor" "Plants" 2 0.967239932681506
"159" "Cordia collococca" "Plants" 2 0.967239932681506
"160" "Couma utilis" "Plants" 2 0.967239932681506
"161" "Coussapoa villosa" "Plants" 2 0.967239932681506
"162" "Crateva tapia" "Plants" 2 0.967239932681506
"163" "Crescentia alata" "Plants" 2 0.967239932681506
"164" "Crescentia amazonica" "Plants" 2 0.967239932681506
"165" "Crescentia cujete" "Plants" 2 0.967239932681506
"166" "Cucurbita argyrosperma" "Plants" 2 0.967239932681506
"167" "Cyathula prostrata" "Plants" 2 0.967239932681506
"168" "Cynometra retusa" "Plants" 2 0.967239932681506
"169" "Cynophalla flexuosa" "Plants" 2 0.967239932681506
"170" "Diospyros discolor" "Plants" 2 0.967239932681506
"171" "Diospyros nigra" "Plants" 2 0.967239932681506
"172" "Dipteryx odorata" "Plants" 2 0.967239932681506
"173" "Dipteryx oleifera" "Plants" 2 0.967239932681506
"174" "Drymonia rubra" "Plants" 2 0.967239932681506
"175" "Dyssochroma viridiflora" "Plants" 2 1.07554094907403
"176" "Elizabetha paraensis" "Plants" 2 0.967239932681506
"177" "Emmotum nitens" "Plants" 2 0.967239932681506
"178" "Eperua falcata" "Plants" 2 0.967239932681506
"179" "Epiphyllum hookeri" "Plants" 2 0.967239932681506
"180" "Eriobotrya japonica" "Plants" 2 0.967239932681506
"181" "Eriolarynx lorentzii" "Plants" 2 0.967239932681506
"182" "Eriotheca squamigera" "Plants" 2 0.967239932681506
"183" "Eugenia acapulcensis" "Plants" 2 0.967239932681506
"184" "Eugenia nesiotica" "Plants" 2 0.967239932681506
"185" "Eugenia uniflora" "Plants" 2 0.967239932681506
"186" "Evodianthus funifer" "Plants" 2 0.967239932681506
"187" "Ficus aurea" "Plants" 2 0.967239932681506
"188" "Ficus benjamina" "Plants" 2 0.967239932681506
"189" "Ficus cahuitensis" "Plants" 2 0.967239932681506
"190" "Ficus citrifolia" "Plants" 2 0.967239932681506
"191" "Ficus clusiifolia" "Plants" 2 0.967239932681506
"192" "Ficus colubrinae" "Plants" 2 0.967239932681506
"193" "Ficus costaricana" "Plants" 2 0.967239932681506
"194" "Ficus cotinifolia" "Plants" 2 0.967239932681506
"195" "Ficus crassinervia" "Plants" 2 0.967239932681506
"196" "Ficus crocata" "Plants" 2 0.967239932681506
"197" "Ficus cyclophylla" "Plants" 2 0.967239932681506
"198" "Ficus enormis" "Plants" 2 0.967239932681506
"199" "Ficus eximia" "Plants" 2 0.967239932681506
"200" "Ficus hartwegii" "Plants" 2 0.967239932681506
"201" "Ficus insipida" "Plants" 2 0.967239932681506
"202" "Ficus luschnathiana" "Plants" 2 0.967239932681506
"203" "Ficus matiziana" "Plants" 2 0.967239932681506
"204" "Ficus maxima" "Plants" 2 0.967239932681506
"205" "Ficus microcarpa" "Plants" 2 0.967239932681506
"206" "Ficus nymphaeifolia" "Plants" 2 0.967239932681506
"207" "Ficus obtusifolia" "Plants" 2 0.967239932681506
"208" "Ficus paraensis" "Plants" 2 0.967239932681506
"209" "Ficus pertusa" "Plants" 2 0.967239932681506
"210" "Ficus popenoei" "Plants" 2 0.967239932681506
"211" "Ficus tonduzii" "Plants" 2 0.967239932681506
"212" "Ficus trigonata" "Plants" 2 0.967239932681506
"213" "Ficus yoponensis" "Plants" 2 0.967239932681506
"214" "Flacourtia indica" "Plants" 2 0.967239932681506
"215" "Guettarda foliacea" "Plants" 2 0.967239932681506
"216" "Gurania acuminata" "Plants" 2 0.967239932681506
"217" "Gurania lobata" "Plants" 2 0.967239932681506
"218" "Gustavia superba" "Plants" 2 0.967239932681506
"219" "Harpochilus neesianus" "Plants" 2 0.967239932681506
"220" "Helicteres baruensis" "Plants" 2 0.967239932681506
"221" "Hernandia didymantha" "Plants" 2 0.967239932681506
"222" "Hesperalbizia occidentalis" "Plants" 2 0.967239932681506
"223" "Hibiscus elatus" "Plants" 2 0.967239932681506
"224" "Hibiscus rosa-sinensis" "Plants" 2 0.967239932681506
"225" "Hillia illustris" "Plants" 2 0.967239932681506
"226" "Hylocereus lemairei" "Plants" 2 0.967239932681506
"227" "Hymenaea courbaril" "Plants" 2 0.967239932681506
"228" "Hymenaea stigonocarpa" "Plants" 2 0.967239932681506
"229" "Inga uruguensis" "Plants" 2 0.967239932681506
"230" "Inga vera" "Plants" 2 0.967239932681506
"231" "Ipomoea ampullacea" "Plants" 2 0.967239932681506
"232" "Karwinskia calderonii" "Plants" 2 0.967239932681506
"233" "Lafoensia glyptocarpa" "Plants" 2 0.967239932681506
"234" "Lafoensia pacari" "Plants" 2 0.967239932681506
"235" "Lafoensia vandelliana" "Plants" 2 0.967239932681506
"236" "Lantana trifolia" "Plants" 2 0.967239932681506
"237" "Lecythis zabucajo" "Plants" 2 0.967239932681506
"238" "Licania arborea" "Plants" 2 0.967239932681506
"239" "Livistona chinensis" "Plants" 2 0.967239932681506
"240" "Lophocereus schottii" "Plants" 2 0.967239932681506
"241" "Luehea paniculata" "Plants" 2 0.967239932681506
